date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:17	21322/21322	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:53%20GMT	http://sohelrana.me/hotel/default/img/home-chef.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/home-chef.jpg	(from http://sohelrana.me/hotel/default/)
20:25:20	73051/73051	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:27%20GMT	http://sohelrana.me/hotel/default/img/bedroom-2.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/bedroom-2.jpg	(from http://sohelrana.me/hotel/default/)
20:25:21	1939/1939	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:17%20GMT	http://sohelrana.me/hotel/default/img/profile-01.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/profile-01.jpg	(from http://sohelrana.me/hotel/default/)
20:25:22	2094/2094	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:18%20GMT	http://sohelrana.me/hotel/default/img/profile-02.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/profile-02.jpg	(from http://sohelrana.me/hotel/default/)
20:25:23	1577/1577	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:18%20GMT	http://sohelrana.me/hotel/default/img/profile-03.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/profile-03.jpg	(from http://sohelrana.me/hotel/default/)
20:25:23	96573/96573	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:31%20GMT	http://sohelrana.me/hotel/default/img/bedroom-6.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/bedroom-6.jpg	(from http://sohelrana.me/hotel/default/)
20:25:24	2077/2077	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:19%20GMT	http://sohelrana.me/hotel/default/img/profile-04.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/profile-04.jpg	(from http://sohelrana.me/hotel/default/)
20:25:26	6774/6774	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202017%2018:43:45%20GMT	http://sohelrana.me/hotel/default/img/footer-logo.png	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/footer-logo.png	(from http://sohelrana.me/hotel/default/)
20:25:27	4186/4186	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:42%20GMT	http://sohelrana.me/hotel/default/img/footer-img-1.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/footer-img-1.jpg	(from http://sohelrana.me/hotel/default/)
20:25:27	74767/74767	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:44:43%20GMT	http://sohelrana.me/hotel/default/img/special-service-img.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/special-service-img.jpg	(from http://sohelrana.me/hotel/default/)
